Country,Abv,Description,Text,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.496590137,4.385980129,5.509039879,4.621734858,4.916950226,5.079005003,4.881084919,5.02312994,4.951634884,4.719299793
Africa Western and Central,AFW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.078089952,2.987459898,3.013400078,3.029710054,3.161789894,3.115135074,2.834550023,3.431199908,3.066335082,3.032850027
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.421319962,3.243769884,3.278470039,3.872060061,2.930550098,3.486900091,2.754940033,2.466880083,2.044699907,1.821179986
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.679970026,4.397880077,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.933969975,2.965199947
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,0,5.628469944,5.430560112,5.785480022
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0,0,0,0,0,7.806519985,7.974820137,7.099999905,6.721330166,6.91437006
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.117609978,1.107920051,0,0,0,1.910230041,1.754089952,1.75364995,1.565879941,1.768710017
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.553460121,4.137549877,4.654109955,4.729000092,4.577429771,3.494159937,3.97232008,3.80347991,3.239939928,3.700400114
Cameroon,CMR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.993659973,2.766769886,2.697180033,2.768019915,2.687129974,2.768049955,2.654230118,3.154819965,3.131200075,3.100500107
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.524979949,0,0,2.062210083,1.951429963,2.170439959,2.118690014,1.454949975,0,0
"Congo, Rep.",COG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.686729908,0,0,0,3.183710098,3.282579899,5.20979023,4.442969799,3.001470089,3.898000002
Comoros,COM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919,0,0,0,0
Cabo Verde,CPV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.567289829,5.043610096,0,5.001440048,4.963870049,5.266910076,5.288790226,5.181749821,5.368850231,4.733459949
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0,0,0,0,0,0,7.344359875,6.505380154,5.866350174,6.100359917
"Egypt, Arab Rep.",EGY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.542649984,3.344300032,3.368299961,4.122529984,4.25138998,3.930850029,0,0,0,0
Ethiopia,ETH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.496590137,5.485760212,5.56678009,4.498549938,4.602019787,4.737919807,5.061510086,5.64951992,5.06867981,0
Gabon,GAB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.078089952,2.987459898,3.013400078,3.029710054,2.666670084,2.900000095,2.769999981,3.326809883,2.933459997,2.767829895
Ghana,GHA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.540599823,8.14097023,7.919139862,4.576469898,4.660570145,4.612130165,4.528840065,3.627379894,4.004129887,0
Guinea,GIN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.551189899,2.287420034,1.833709955,2.63421011,2.422810078,2.517139912,2.544500113,2.320339918,2.384320021,1.848369956
"Gambia, The",GMB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.563220024,2.50116992,2.637569904,1.818390012,2.230940104,2.160029888,2.024430037,2.459189892,2.365439892,2.875299931
Guinea-Bissau,GNB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.860820055,1.857859969,2.001060009,2.13248992,2.200000048,2.299999952,2.299999952,2.200000048,2.137870073,2.947819948
Equatorial Guinea,GNQ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0,0,0,0,0,0,0,0,0,0
